date,time_slot,total_tables,tables_occupied,cancellations_count,is_peak
2026-09-05,12:00,20,19,0,True
2026-09-05,13:00,20,6,0,False
2026-09-05,18:00,20,10,3,False
2026-09-05,19:00,20,19,1,True
2026-09-05,20:00,20,20,1,True
2026-09-05,21:00,20,3,3,False
2026-09-06,12:00,20,3,1,False
2026-09-06,13:00,20,3,3,False
2026-09-06,18:00,20,3,1,False
2026-09-06,19:00,20,17,0,True
2026-09-06,20:00,20,18,0,True
2026-09-06,21:00,20,3,1,False
2026-09-07,12:00,20,3,0,False
2026-09-07,13:00,20,3,1,False
2026-09-07,18:00,20,3,3,False
2026-09-07,19:00,20,20,0,True
2026-09-07,20:00,20,17,0,True
2026-09-07,21:00,20,3,0,False
2026-09-08,12:00,20,3,3,False
2026-09-08,13:00,20,3,2,False
2026-09-08,18:00,20,3,1,False
2026-09-08,19:00,20,19,0,True
2026-09-08,20:00,20,19,1,True
2026-09-08,21:00,20,3,0,False
2026-09-09,12:00,20,3,0,False
2026-09-09,13:00,20,3,2,False
2026-09-09,18:00,20,3,2,False
2026-09-09,19:00,20,17,1,True
2026-09-09,20:00,20,20,1,True
2026-09-09,21:00,20,3,0,False
2026-09-10,12:00,20,3,0,False
2026-09-10,13:00,20,3,2,False
2026-09-10,18:00,20,3,1,False
2026-09-10,19:00,20,20,0,True
2026-09-10,20:00,20,18,1,True
2026-09-10,21:00,20,3,2,False
2026-09-11,12:00,20,3,3,False
2026-09-11,13:00,20,3,2,False
2026-09-11,18:00,20,3,0,False
2026-09-11,19:00,20,19,1,True
2026-09-11,20:00,20,18,0,True
2026-09-11,21:00,20,3,3,False
